Site_ID	Lat	Long	Point.Date	date	day	month	year	Pel	Aur	Cot	Rhi	Chr	Aeq	Vel	Phys
1	42.427332	3.161042	20120615	15/06/2012	15	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120616	16/06/2012	16	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120617	17/06/2012	17	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120618	18/06/2012	18	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120619	19/06/2012	19	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120620	20/06/2012	20	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120621	21/06/2012	21	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120622	22/06/2012	22	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120623	23/06/2012	23	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120624	24/06/2012	24	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120625	25/06/2012	25	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120626	26/06/2012	26	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120627	27/06/2012	27	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120628	28/06/2012	28	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120629	29/06/2012	29	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120630	30/06/2012	30	6	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120701	01/07/2012	1	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120702	02/07/2012	2	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120703	03/07/2012	3	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120704	04/07/2012	4	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120705	05/07/2012	5	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120706	06/07/2012	6	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120707	07/07/2012	7	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120708	08/07/2012	8	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120709	09/07/2012	9	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120710	10/07/2012	10	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120711	11/07/2012	11	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120712	12/07/2012	12	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120713	13/07/2012	13	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120714	14/07/2012	14	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120715	15/07/2012	15	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120716	16/07/2012	16	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120717	17/07/2012	17	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120718	18/07/2012	18	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120719	19/07/2012	19	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120720	20/07/2012	20	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120721	21/07/2012	21	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120722	22/07/2012	22	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120723	23/07/2012	23	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120724	24/07/2012	24	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120725	25/07/2012	25	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120726	26/07/2012	26	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120727	27/07/2012	27	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120728	28/07/2012	28	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120729	29/07/2012	29	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120730	30/07/2012	30	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120731	31/07/2012	31	7	2012	NA	NA	NA	NA	NA	NA	NA	NA
1	42.427332	3.161042	20120801	01/08/2012	1	8	2012	NA	NA	NA	NA	NA	NA	NA	NA
