beach,lon,lat
0,11.08613611,42.61646667
1,14.766452,40.662233
2,14.779025,40.651428
3,15.08747377,44.34881111
4,15.08747436,44.33250556
5,15.08746953,44.29532222
6,15.08747543,44.31706389
7,15.08747544,44.31706389
8,15.38698611,41.90286389
9,14.48058333,40.70018333
10,15.08747311,44.37306667
11,15.08747096,44.38575833
12,15.08746129,43.82115278
13,15.08747097,44.38575833
14,15.08747095,44.37092222
15,15.08746566,43.83426389
16,15.08747545,44.31706389
17,15.08747982,44.103175
18,15.08747696,44.27314722
19,15.08748084,44.07883056
20,15.08746724,44.14886111
21,15.08746455,43.260025
22,15.08746599,43.94949444
23,15.08748076,43.43333333
24,15.08748077,43.43333333
25,15.087466,43.94949444
26,14.94433611,40.28613611
27,15.130875,41.945659
28,10.219176,42.729038
29,15.0874638,40.21541111
30,15.08746494,43.79041667
31,15.08746766,44.16852222
32,14.771237,40.634318
33,15.08746827,44.226425
34,15.08746513,43.77981389
35,15.08748028,44.10673611
36,15.08748038,44.10259167
37,15.08748085,44.07883056
38,15.08746828,44.226425
39,15.0874719,44.393625
40,15.08748086,44.07883056
41,14.992497,40.364392
42,15.08746495,43.79041667
43,15.08748087,44.07883056
44,15.96424167,41.45736667
45,15.08746786,44.18193889
46,14.410805,40.739233
47,8.613919,38.936624
48,14.789774,40.650202
49,15.08746241,40.19610556
50,15.08746767,44.16852222
51,15.08746384,40.16840833
52,15.08746322,40.95988889
53,15.08746588,43.92390833
54,14.947878,40.463294
55,15.08746589,43.92390833
56,14.874353,40.566027
57,15.0874776,44.23746667
58,9.647641,39.455489
59,14.923235,40.290253
60,14.940729,40.47281
61,15.0874811,44.04984167
62,15.08748088,44.07883056
63,14.94005,40.286137
64,14.897023,40.526111
65,15.08748029,44.10673611
66,14.951506,40.434814
67,15.08746431,40.203175
68,15.08746904,44.24865
69,15.08747437,44.33250556
70,15.087479,44.14638889
71,15.08747761,44.23746667
72,15.08746387,40.14808889
73,15.08747546,44.31706389
74,15.08747848,44.16951111
75,15.08747697,44.27314722
76,15.08747814,44.20818611
77,15.08746843,44.226425
78,15.08747701,44.25155278
79,15.08748004,40.42427778
80,15.08747763,44.23746667
81,15.08747117,44.39031389
82,15.08747698,44.27314722
83,15.08746242,40.19610556
84,15.08747049,44.34073889
85,15.08747497,44.35220278
86,15.98260556,41.46969722
87,15.0874649,43.77884722
88,15.08746491,43.77884722
89,15.08748075,44.08666667
90,7.26462,43.684657
91,15.08746794,44.20565833
92,15.08746795,44.20565833
93,15.08746787,44.18193889
94,15.08746796,44.20565833
95,15.08746844,44.226425
96,15.08747489,44.34763056
97,15.08746458,43.48444167
98,15.08747766,44.23831667
99,15.08747767,44.23831667
100,15.08746243,40.19610556
101,14.949777,40.448284
102,15.08746444,40.13048889
103,15.076911,44.396156
104,15.12786111,37.47526667
105,15.0874659,43.92390833
106,15.08746535,43.81840556
107,15.08748005,40.42630278
108,15.08746536,43.81840556
109,14.937871,40.340156
110,15.08746492,43.77884722
111,15.08746493,43.77884722
112,15.087465,43.79041667
113,15.08747815,40.94814722
114,15.08746845,44.226425
115,15.08746846,44.226425
116,15.0874705,44.34073889
117,15.08746847,44.226425
118,15.08747288,44.38
119,15.08747736,42.69855278
120,15.08747927,42.81742778
121,15.08747735,42.69855278
122,15.08746797,44.20565833
123,15.08747263,44.38328611
124,15.08748071,44.08167778
125,15.08747043,44.32991667
126,14.957698,40.424281
127,15.08747264,44.38328611
128,15.08746118,40.13928889
129,15.08747169,41.00871667
130,15.08747896,40.18285833
131,15.08746382,40.18470833
132,15.08748072,44.08143611
133,15.0874644,40.18410556
134,15.08746441,40.18410556
135,15.08748073,44.08143611
136,15.08746848,44.226425
137,15.08746331,42.77734722
138,15.08747816,40.94814722
139,15.08747849,44.16951111
140,15.08746442,40.18410556
141,15.08746849,44.226425
142,15.0874789,40.22574167
143,15.08746537,43.81840556
144,15.0874685,44.226425
145,15.08746601,43.94949444
146,15.08747833,44.18245
147,15.08747901,44.14638889
148,15.08747835,44.18245
149,15.0874785,44.16951111
150,15.08747834,44.18245
151,15.08747811,42.14063056
152,15.670342,40.033656
153,15.21669167,38.77438611
154,15.08747378,44.34881111
155,15.08747836,44.18245
156,15.08746905,44.24865
